BeginDate,EndDate,TimeWindow,Correlation,Corr. Stddev,#EQs
1966.6912399999999,1967.6912,1.0,1.5346,1.2386,65
1966.7681599999999,1967.76812,1.0,1.7541,1.4829,70
1966.8450799999998,1967.84504,1.0,1.7086,1.3927,69
1966.9219999999998,1967.92196,1.0,1.6288,1.3301,67
1966.99892,1967.99888,1.0,1.6596,1.3359,71
1967.07584,1968.0758,1.0,1.714,1.4604,63
1967.15276,1968.15272,1.0,1.6763,1.3786,62
1967.22968,1968.22964,1.0,1.5902,1.2598,59
1967.3066,1968.30656,1.0,1.271,0.8932,108
1967.3835199999999,1968.38348,1.0,1.2994,0.8784,119
1967.4604399999998,1968.4604,1.0,1.2858,0.9039,118
1967.5373599999998,1968.53732,1.0,1.236,0.8052,146
1967.61428,1968.61424,1.0,1.2244,0.7887,142
1967.6912,1968.69116,1.0,1.2297,0.8052,141
1967.76812,1968.76808,1.0,1.2189,0.7803,137
1967.84504,1968.845,1.0,1.2182,0.781,138
1967.92196,1968.92192,1.0,1.2352,0.7808,139
1967.9988799999999,1968.99884,1.0,1.2509,0.7796,141
1968.0757999999998,1969.07576,1.0,1.2474,0.7826,148
1968.1527199999998,1969.15268,1.0,1.2406,0.7744,146
1968.2296399999998,1969.2296,1.0,1.2383,0.7743,146
1968.30656,1969.30652,1.0,1.201,0.6883,96
1968.38348,1969.38344,1.0,1.1673,0.69,90
1968.4604,1969.46036,1.0,1.1662,0.6222,92
1968.53732,1969.53728,1.0,1.5873,1.3287,65
1968.6142399999999,1969.6142,1.0,1.6769,1.4538,65
1968.6911599999999,1969.69112,1.0,1.5257,1.2193,63
1968.7680799999998,1969.76804,1.0,1.5168,1.1836,64
1968.8449999999998,1969.84496,1.0,1.5036,1.1563,62
1968.92192,1969.92188,1.0,1.3964,1.0653,64
1968.99884,1969.9988,1.0,1.4315,1.0092,65
1969.07576,1970.07572,1.0,1.461,1.0205,64
1969.15268,1970.15264,1.0,1.5019,1.0538,60
1969.2296,1970.22956,1.0,1.5029,1.136,65
1969.3065199999999,1970.30648,1.0,1.4495,1.0815,65
1969.3834399999998,1970.3834,1.0,1.5028,1.1557,64
1969.4603599999998,1970.46032,1.0,1.4533,1.0991,58
1969.53728,1970.53724,1.0,1.5226,1.157,59
1969.6142,1970.61416,1.0,1.6471,1.2379,60
1969.69112,1970.69108,1.0,1.6982,1.2786,58
1969.76804,1970.768,1.0,1.7292,1.2988,61
1969.84496,1970.84492,1.0,1.7124,1.3034,61
1969.9218799999999,1970.92184,1.0,1.9217,1.5621,61
1969.9987999999998,1970.99876,1.0,1.9126,1.64,57
1970.0757199999998,1971.07568,1.0,1.848,1.6203,56
1970.1526399999998,1971.1526,1.0,1.5288,1.644,238
1970.22956,1971.22952,1.0,1.5504,1.6466,252
1970.30648,1971.30644,1.0,1.6034,1.6399,261
1970.3834,1971.38336,1.0,1.5911,1.639,262
1970.46032,1971.46028,1.0,1.579,1.6377,270
1970.5372399999999,1971.5372,1.0,1.5996,1.6058,277
1970.6141599999999,1971.61412,1.0,1.5993,1.5973,274
1970.6910799999998,1971.69104,1.0,1.5996,1.5975,273
1970.7679999999998,1971.76796,1.0,1.5992,1.5958,275
1970.84492,1971.84488,1.0,1.6003,1.5979,276
1970.92184,1971.9218,1.0,1.6007,1.5982,277
1970.99876,1971.99872,1.0,1.5978,1.5987,276
1971.07568,1972.07564,1.0,1.5848,1.5946,281
1971.1526,1972.15256,1.0,1.914,1.451,108
1971.2295199999999,1972.22948,1.0,1.8769,1.3639,93
1971.3064399999998,1972.3064,1.0,1.5748,1.3236,86
1971.3833599999998,1972.38332,1.0,1.7356,1.2361,83
1971.46028,1972.46024,1.0,1.727,1.091,75
1971.5372,1972.53716,1.0,1.6876,1.1901,69
1971.61412,1972.61408,1.0,1.68,1.1394,67
1971.69104,1972.691,1.0,1.636,1.1933,68
1971.76796,1972.76792,1.0,1.6582,1.3326,60
1971.8448799999999,1972.84484,1.0,1.4725,1.1977,65
1971.9217999999998,1972.92176,1.0,1.4473,1.2645,63
1971.9987199999998,1972.99868,1.0,1.4126,1.2023,68
1972.0756399999998,1973.0756,1.0,1.4664,1.3542,65
1972.15256,1973.15252,1.0,1.38,1.2575,58
1972.22948,1973.22944,1.0,1.4363,1.3793,54
1972.3064,1973.30636,1.0,1.4112,1.3183,51
1972.38332,1973.38328,1.0,1.3721,1.3041,50
1972.4602399999999,1973.4602,1.0,1.4242,1.4172,53
1972.5371599999999,1973.53712,1.0,1.4784,1.3746,54
